This is a full list of config-variables changed by actions. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:0_AID:40531=transflags 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40531=transflags 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40532=transflags 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:40532=transflags 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40532=transflags 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:40533=transflags 	 - INT: 17  - DOUBLE: -2.0
Sec:0_AID:40533=transflags 	 - INT: 25  - DOUBLE: -2.0
Sec:0_AID:40533=transflags 	 - INT: 17  - DOUBLE: -2.0
Sec:0_AID:40534=projtimemode2 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40549=mixrowflags 	 - INT: 93  - DOUBLE: -2.0
Sec:0_AID:40549=mixrowflags 	 - INT: 77  - DOUBLE: -2.0
Sec:0_AID:40549=mixrowflags 	 - INT: 93  - DOUBLE: -2.0
Sec:0_AID:40557=mixrowflags 	 - INT: 125  - DOUBLE: -2.0
Sec:0_AID:40557=mixrowflags 	 - INT: 93  - DOUBLE: -2.0
Sec:0_AID:40557=mixrowflags 	 - INT: 125  - DOUBLE: -2.0
Sec:0_AID:40573=projsellock 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40573=projsellock 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40573=projsellock 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40576=projsellock 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:40576=projsellock 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40576=projsellock 	 - INT: 24  - DOUBLE: -2.0
