This is a full list of config-variables changed by actions in the Main-section. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:32060_AID:40903=mixrowflags 	 - INT: 498  - DOUBLE: -2.0
Sec:32060_AID:40903=mixrowflags 	 - INT: 434  - DOUBLE: -2.0
Sec:32060_AID:40909=multiprojopt 	 - INT: 12274  - DOUBLE: -2.0
Sec:32060_AID:40909=multiprojopt 	 - INT: 12258  - DOUBLE: -2.0
Sec:32060_AID:40909=multiprojopt 	 - INT: 12274  - DOUBLE: -2.0
Sec:32060_AID:40910=mixrowflags 	 - INT: 306  - DOUBLE: -2.0
Sec:32060_AID:40910=mixrowflags 	 - INT: 434  - DOUBLE: -2.0
Sec:32060_AID:40910=mixrowflags 	 - INT: 306  - DOUBLE: -2.0
Sec:32060_AID:40912=splitautoxfade 	 - INT: 18  - DOUBLE: -2.0
Sec:32060_AID:40912=splitautoxfade 	 - INT: 19  - DOUBLE: -2.0
Sec:32060_AID:40912=splitautoxfade 	 - INT: 18  - DOUBLE: -2.0
Sec:32060_AID:40917=mastermutesolo 	 - INT: 18  - DOUBLE: -2.0
Sec:32060_AID:40917=mastermutesolo 	 - INT: 14  - DOUBLE: -2.0
Sec:32060_AID:40917=mastermutesolo 	 - INT: 18  - DOUBLE: -2.0
Sec:32060_AID:41038=preroll 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41038=preroll 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41038=preroll 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41046=showmaintrack 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:41050=showmaintrack 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:41050=showmaintrack 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:41050=showmaintrack 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:41054=relsnap 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41054=relsnap 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41054=relsnap 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41062=multiprojopt 	 - INT: 12242  - DOUBLE: -2.0
Sec:32060_AID:41062=multiprojopt 	 - INT: 12274  - DOUBLE: -2.0
Sec:32060_AID:41062=multiprojopt 	 - INT: 12242  - DOUBLE: -2.0
Sec:32060_AID:41063=multiprojopt 	 - INT: 12178  - DOUBLE: -2.0
Sec:32060_AID:41063=multiprojopt 	 - INT: 12242  - DOUBLE: -2.0
Sec:32060_AID:41063=multiprojopt 	 - INT: 12178  - DOUBLE: -2.0
Sec:32060_AID:41071=trimmidionsplit 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41071=trimmidionsplit 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41071=trimmidionsplit 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41078=fxfloat_focus 	 - INT: 35  - DOUBLE: -2.0
Sec:32060_AID:41078=fxfloat_focus 	 - INT: 31  - DOUBLE: -2.0
Sec:32060_AID:41078=fxfloat_focus 	 - INT: 35  - DOUBLE: -2.0
Sec:32060_AID:41117=autoxfade 	 - INT: 19  - DOUBLE: -2.0
Sec:32060_AID:41117=autoxfade 	 - INT: 21  - DOUBLE: -2.0
Sec:32060_AID:41117=autoxfade 	 - INT: 19  - DOUBLE: -2.0
Sec:32060_AID:41146=mixeruiflag 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41146=mixeruiflag 	 - INT: 93  - DOUBLE: -2.0
Sec:32060_AID:41146=mixeruiflag 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41153=mixerflag 	 - INT: 12  - DOUBLE: -2.0
Sec:32060_AID:41153=mixerflag 	 - INT: 13  - DOUBLE: -2.0
Sec:32060_AID:41153=mixerflag 	 - INT: 12  - DOUBLE: -2.0
Sec:32060_AID:41154=mixerflag 	 - INT: 10  - DOUBLE: -2.0
Sec:32060_AID:41154=mixerflag 	 - INT: 12  - DOUBLE: -2.0
Sec:32060_AID:41154=mixerflag 	 - INT: 10  - DOUBLE: -2.0
Sec:32060_AID:41156=projgroupsel 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41156=projgroupsel 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41156=projgroupsel 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41194=splitautoxfade 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41194=splitautoxfade 	 - INT: 18  - DOUBLE: -2.0
Sec:32060_AID:41194=splitautoxfade 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41209=mixrowflags 	 - INT: 50  - DOUBLE: -2.0
Sec:32060_AID:41209=mixrowflags 	 - INT: 306  - DOUBLE: -2.0
Sec:32060_AID:41209=mixrowflags 	 - INT: 50  - DOUBLE: -2.0
Sec:32060_AID:41212=projgriddiv 	 - INT: 1431655763  - DOUBLE: -1.9166666666667
Sec:32060_AID:41297=custommenu 	 - INT: 15  - DOUBLE: -2.0
Sec:32060_AID:41297=custommenu 	 - INT: 23  - DOUBLE: -2.0
Sec:32060_AID:41297=custommenu 	 - INT: 15  - DOUBLE: -2.0
Sec:32060_AID:41329=autoxfade 	 - INT: 23  - DOUBLE: -2.0
Sec:32060_AID:41330=autoxfade 	 - INT: 15  - DOUBLE: -2.0
Sec:32060_AID:41338=relativeedges 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41338=relativeedges 	 - INT: 155  - DOUBLE: -2.0
Sec:32060_AID:41338=relativeedges 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41344=tooltips 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41344=tooltips 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41344=tooltips 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41345=help 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41345=help 	 - INT: 65565  - DOUBLE: -2.0
Sec:32060_AID:41345=help 	 - INT: 29  - DOUBLE: -2.0
Sec:32060_AID:41346=takelanes 	 - INT: 82  - DOUBLE: -2.0
Sec:32060_AID:41346=takelanes 	 - INT: 78  - DOUBLE: -2.0
Sec:32060_AID:41346=takelanes 	 - INT: 82  - DOUBLE: -2.0
Sec:32060_AID:41355=takelanes 	 - INT: 90  - DOUBLE: -2.0
Sec:32060_AID:41355=takelanes 	 - INT: 82  - DOUBLE: -2.0
Sec:32060_AID:41355=takelanes 	 - INT: 90  - DOUBLE: -2.0
Sec:32060_AID:41576=envclicksegmode 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41576=envclicksegmode 	 - INT: 91  - DOUBLE: -2.0
Sec:32060_AID:41576=envclicksegmode 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41583=runallonstop 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41583=runallonstop 	 - INT: 26  - DOUBLE: -2.0
Sec:32060_AID:41583=runallonstop 	 - INT: 27  - DOUBLE: -2.0
Sec:32060_AID:41609=mixerflag 	 - INT: 26  - DOUBLE: -2.0
